,annual_return,annual_vol,sharpe_ratio,max_drawdown,positive_weeks
CUMMINSIND.NS,0.3815711089260562,0.27725492906609966,1.14897203993268,-0.33495833343179426,0.5747126436781609
INFY.NS,0.0436256013304792,0.24714722977707693,-0.07844452144010297,-0.3572822424389749,0.524904214559387
ASIANPAINT.NS,0.0072288195732980115,0.24764883289170656,-0.22525495989995153,-0.37387628271415296,0.5363984674329502
UPL.NS,0.032985969088927924,0.2904870589400495,-0.10336769739838284,-0.43304907090248923,0.5134099616858238
SYNGENE.NS,-0.029369523139343587,0.2816462758877167,-0.32800884848824585,-0.5834836225440503,0.5440613026819924
CUB.NS,0.13569403828832596,0.31317717237902093,0.2320765917918657,-0.3758459772307924,0.524904214559387
M&M.NS,0.31567161927510545,0.29667449444188715,0.8516359731389289,-0.22914470520326968,0.5325670498084292
OIL.NS,0.4876784358609921,0.4240839397865049,1.0013713053580637,-0.5246269408365791,0.578544061302682
TATACOMM.NS,0.09987236290896764,0.2972074002401481,0.12401917106907669,-0.4245218494213856,0.5134099616858238
PETRONET.NS,0.09562903335311174,0.24881080547969786,0.13108789947703428,-0.30091875127814804,0.5440613026819924
NH.NS,0.31616163363398386,0.29804527522050417,0.8493631913846196,-0.2802990737959441,0.5517241379310345
PHOENIXLTD.NS,0.3364401299096801,0.3472935660926256,0.7873085167986266,-0.29328218240868364,0.5517241379310345
BPCL.NS,0.15641944280751927,0.2861166760784809,0.32646295417715876,-0.34116854277435205,0.5134099616858238
